Name ,Price ,Saller ,Time ,Location 
"Ra mắt căn hộ chung cư, shophouse giá rẻ Hòa Khánh","1,1 tỷ",Văn Quyết,Tin ưu tiên,Quận Liên Chiểu
Cho thuê căn hộ mới xây K385/8 Nguyễn Văn Linh,"3,5 triệu/tháng",Nguyễn thị thanh,Tin ưu tiên,Quận Thanh Khê
"Căn hộ mini Quận Hải Châu 75m² 2 PN, gần Chợ Hàn","5,5 triệu/tháng",Môi giới,Tin ưu tiên,Quận Hải Châu
Nhà 2 tầng mới,7 triệu/tháng,Môi giới,15 phút trước,Quận Hải Châu
Chuột dell ko dây mới,200.000 đ,Thuan,16 phút trước,Quận Hải Châu
GIỎ LỌC RÁC INOX BỒN RỬA BÁT,50.000 đ,Bán chuyên,16 phút trước,Quận Cẩm Lệ
"Honda Air Blade 2020, đã đi 800km, biển số tứ quý",180.000.000 đ,Gia Uy,17 phút trước,Quận Hải Châu
Phòng trọ Quận Liên Chiểu 18m²,"1,2 triệu/tháng",Nguyen gia huy,17 phút trước,Quận Liên Chiểu
"Phòng ở đường 7m5, sát cây xăng số 10",900.000 đ/tháng,Môi giới,18 phút trước,Quận Cẩm Lệ
"Nhà đẹp, cho ở ngay, nhà 97m2",5 triệu/tháng,Anh Hoàng,19 phút trước,Quận Sơn Trà
"Cồn dầu 2 ,115 m2 , Hướng đông nam giá rẻ( B2-14)","2,5 tỷ",Môi giới,19 phút trước,Quận Cẩm Lệ
Kéo SK5 made in JaPan,69.000 đ,Bán chuyên,19 phút trước,Quận Thanh Khê
Lô Diệp Minh Châu- sau trường chú ếch con,"28,5 triệu",BĐS Vương Triều,19 phút trước,Quận Cẩm Lệ
Cần mua tất cả các loại máy giặt cũ....acecó để lạ,300.000 đ,Nguyễnminhanh,20 phút trước,Quận Thanh Khê
"Bán lô Bầu Gia 1, phường hoà thọ đông quận Cẩm lệ","2,55 tỷ",Môi giới,21 phút trước,Quận Cẩm Lệ
Cần bán xe wave hàn quốc,2.800.000 đ,Bán chuyên,21 phút trước,Quận Sơn Trà
Dư dùng,1.234.000 đ,Quá Khứ,22 phút trước,Quận Cẩm Lệ
Cho thuê nha đuog 10m5 khu hòa xuân ng tri phương,12 triệu/tháng,Môi giới,23 phút trước,Quận Cẩm Lệ
Cần bán đất mặt tiền Lý Tư Trọng ngang trên 7m,15 tỷ,Môi giới,23 phút trước,Quận Hải Châu
"100 con chào mào cần bán chim xổ thái độ tốt , bộ",600.000 đ,Bán chuyên,24 phút trước,Quận Hải Châu
Samsung Galaxy J7 Pro Đen,2.000.000 đ,Cao Dung,24 phút trước,Quận Hải Châu
Kinh doanh spa 40 giường an thượng,25 triệu/tháng,Môi giới,24 phút trước,Quận Ngũ Hành Sơn
Hạt sao nhái mĩ màu trồng cực đẹp luôn mn ơi 😍😍,58.000 đ,Bán chuyên,24 phút trước,Quận Ngũ Hành Sơn
Cần bán xe sirius đẹp hoàng hảo,13.300.000 đ,Bán chuyên,25 phút trước,Quận Sơn Trà
Căn hộ Quận Hải Châu 27m² 1PN đủ tiện nghi,3 triệu/tháng,Môi giới,Tin ưu tiên,Quận Hải Châu
Xác ip 7plus,900.000 đ,Bán chuyên,25 phút trước,Quận Ngũ Hành Sơn
Bán blackrry pasport 1 giá rẻ,900.000 đ,Bán chuyên,25 phút trước,Quận Sơn Trà
Đất quanh ĐH Sư Phạm_lô đất đường 5m5 _ giá RẺ,"2,35 tỷ",Môi giới,26 phút trước,Quận Liên Chiểu
Bán đất Thái Thị Bôi Gần Lê Độ,"6,5 tỷ",Môi giới,26 phút trước,Quận Thanh Khê
Phòng trọ đường Liêm Lạc 18,"1,2 triệu/tháng",Võ Thị Kim Tuyến,27 phút trước,Quận Cẩm Lệ
Samsung Galaxy Note 9 Hàn,7.200.000 đ,Bán chuyên,27 phút trước,Quận Ngũ Hành Sơn
Em cần bán đôi giày sezi 42 hiệu GEOX.,650.000 đ,Đào,28 phút trước,Quận Hải Châu
"Main Giga H81-DS2, còn lên ok, lâu lâu bị vga onbo",300.000 đ,Bán chuyên,28 phút trước,Quận Liên Chiểu
2 tầng kiệt hàn mặc tử 2pn 2 tolet,"1,85 tỷ",Môi giới,28 phút trước,Quận Hải Châu
Cho thuê nhà kiệt oto 4pn Hồ Xuân Hương 😍😍,12 triệu/tháng,Môi giới,29 phút trước,Quận Ngũ Hành Sơn
Hạt cúc châu phi trồng bao đỉnh luôn mn ơi 😍😍😍,20.000 đ,Bán chuyên,29 phút trước,Quận Ngũ Hành Sơn
"Buôn si cao cấp,hàng có hạn ạ, da thật,bao check",450.000 đ,Bán chuyên,29 phút trước,Quận Sơn Trà
"Iphone 8plus máy mới tinh, ko trầy xướt",8.000.000 đ,Bán chuyên,30 phút trước,Quận Hải Châu
"Căn hộ mini Quận Hải Châu 75m² 2 PN, gần Chợ Hàn","5,5 triệu/tháng",Môi giới,Tin ưu tiên,Quận Hải Châu
CHUNG CƯ 12T DÂN TRÍ CAO NHIỀU TIỆN ÍCH,"1,55 tỷ",Đỗ Thị Như Ý,Tin ưu tiên,Quận Sơn Trà
"Chính chủ bán CH Sông Hàn, 2PN, sổ đỏ đầy đủ","1,23 tỷ",Môi giới,Tin ưu tiên,Quận Sơn Trà
,,hoạ my,4 phút trước,Quận Liên Chiểu
Cần bán xe Jupiter V cưc đẹp,9.800.000 đ,Bán chuyên,5 phút trước,Quận Sơn Trà
Nissan sunny 2018. Đi 40.000km,330.000.000 đ,cường,5 phút trước,Quận Thanh Khê
Căn hộ F Home 1PN Toà Zen Diamond view sông Hàn,8 triệu/tháng,Môi giới,7 phút trước,Quận Hải Châu
Nhận dạy kèm hoá cấp 2 giúp các em lấy lại căn bản,,kim hằng,7 phút trước,Quận Thanh Khê
Căn hộ 2pn cao cấp phước trường view biển,"6,5 triệu/tháng",Môi giới,8 phút trước,Quận Sơn Trà
"Căn hộ dịch vụ, mini Quận Sơn Trà 35m² 1 PN",4 triệu/tháng,Môi giới,9 phút trước,Quận Sơn Trà
Giày adidas chính hãng size 40+2/3,1.200.000 đ,Tuấn Nguyễn Văn,10 phút trước,Quận Thanh Khê
Cho thuê đất Hòa Thọ Tây,7 triệu/tháng,Môi giới,10 phút trước,Quận Cẩm Lệ
Tai nghe xiaomi,120.000 đ,Trần Văn Hùng,11 phút trước,Quận Ngũ Hành Sơn
Phòng,"1,2 triệu/tháng",Môi giới,11 phút trước,Quận Liên Chiểu
🇻🇳Nhà gác đúc 3 phòng ngủ kiệt Ngô Sĩ Liên,5 triệu/tháng,Môi giới,11 phút trước,Quận Liên Chiểu
Lenovo g575,999.000 đ,thái,12 phút trước,Quận Thanh Khê
"🇻🇳Nhà đường Phước Tường 9, gần Lê Trọng Tấn",4 triệu/tháng,Môi giới,31 phút trước,Quận Cẩm Lệ
Xe giao lưu,13.500.000 đ,Bán chuyên,31 phút trước,Quận Cẩm Lệ
Cần bán nhanh,200.000 đ,Bán chuyên,31 phút trước,Quận Sơn Trà
Cần bán iphone 6s plus,3.800.000 đ,nguyễn tuấn,32 phút trước,Huyện Hòa Vang
Bán tủ lạnh mới,3.000.000 đ,Luân,33 phút trước,Quận Hải Châu
Cây bồ đề 1tr5,1.500.000 đ,Lê Văn Hưng,33 phút trước,Huyện Hòa Vang
